,Type Model,Brand
7,A  200 Sedan (V177),MERCEDES BENZ
8,CLA  200 AMG Line (C118),MERCEDES BENZ
9,AMG CLA  45 S (C118),MERCEDES BENZ
10,C 200 AVA  Line (W206),MERCEDES BENZ
40,735i Limousine RHD A/T,BMW
41,735i Limousine RHD AT,BMW
54,AMG A  35 4MATIC (V177),MERCEDES BENZ
56,E 200 Coupe   (C238)*,MERCEDES BENZ
60,EQE 350 (V295),MERCEDES BENZ
61,EQS 450+ (V297),MERCEDES BENZ
62,C 300 AMG Line (W206),MERCEDES BENZ
63,AMG CLA  45 S Shooting Brake (X118),MERCEDES BENZ
64,AMG SL 43,MERCEDES BENZ
65,CLE 300,MERCEDES BENZ
72,GR Corolla 1.6,TOYOTA
80,Maybach S 560 (X222)*,MERCEDES BENZ
81,Maybach S 580 (Z223)*,MERCEDES BENZ
168,Stargazer Active MT,HYUNDAI - HMID
232,EQA  250,MERCEDES BENZ
233,GLB 200 Progressive Line ( X247),MERCEDES BENZ
349,All New  CR-V  2.0 e:HEV,HONDA
374,AMG A  45 4MATIC (W177)*,MERCEDES BENZ
375,M-AMG GLA  35,MERCEDES BENZ
463,GLE 450 (V167),MERCEDES BENZ
464,GLS 450 (X167),MERCEDES BENZ
466,GLS 600 Maybach (X167),MERCEDES BENZ
467,GLC 300 AMG Line ( X254),MERCEDES BENZ
468,AMG GLS 63 (X167),MERCEDES BENZ
469,GLE 450 Coupe 4MATIC AMG Line (C167)*,MERCEDES BENZ
470,AMG GLE 53 Coupe 4MATIC+ (C167)*,MERCEDES BENZ
471,GLC 300 Coupe,MERCEDES BENZ
472,EQS SUV  450 ( X 296),MERCEDES BENZ
473,EQE 350 4M (X294),MERCEDES BENZ
490,iX1 eDrive20 A/T,BMW
493,AMG G 63,MERCEDES BENZ
530,CLA 200 AMG Line (C118),MERCEDES BENZ
531,AMG CLA 45 S (C118),MERCEDES BENZ
532,C 200 AVA Line (W206),MERCEDES BENZ
545,218i  Gran Coupe,BMW
563,735i  Limousine RHD A/T,BMW
564,735i  Limousine RHD AT,BMW
579,AMG A 35 4MATIC (V177),MERCEDES BENZ
582,E 200 Coupe   (C238)*,MERCEDES BENZ
586,EQE 350 (V295),MERCEDES BENZ
587,S 580e (V223),MERCEDES BENZ
588,EQS 450+ (V297),MERCEDES BENZ
590,E 300e,MERCEDES BENZ
591,CLS 350 AMG,MERCEDES BENZ
592,C 300 AMG Line (W206),MERCEDES BENZ
593,AMG CLA 45 S Shooting Brake (X118),MERCEDES BENZ
594,AMG SL 43,MERCEDES BENZ
615,GT  53 4MATIC+ (X290)*,MERCEDES BENZ
616,Maybach S 580 (Z223)*,MERCEDES BENZ
717,Stargazer Active MT,HYUNDAI - HMID
783,EQA 250,MERCEDES BENZ
784,EQB 250,MERCEDES BENZ
785,GLA 200 Progressive Line ( H247),MERCEDES BENZ
786,GLB 200 Progressive Line ( X247),MERCEDES BENZ
915,All  New CR-V 2.0 e:HEV,HONDA
951,AMG A 45 4MATIC (W177)*,MERCEDES BENZ
952,M-AMG GLA 35,MERCEDES BENZ
1059,GLE 450 (V167),MERCEDES BENZ
1060,GLS 450 (X167),MERCEDES BENZ
1062,GLS 600 Maybach (X167),MERCEDES BENZ
1063,GLC 300 AMG Line ( X254),MERCEDES BENZ
1064,AMG GLS 63 (X167),MERCEDES BENZ
1065,GLE 450 Coupe 4MATIC AMG Line (C167)*,MERCEDES BENZ
1066,AMG GLE 53 Coupe 4MATIC+ (C167)*,MERCEDES BENZ
1067,GLC 300 Coupe,MERCEDES BENZ
1068,GLE 450 (V167),MERCEDES BENZ
1069,GLC 300 AMG Line ( X254),MERCEDES BENZ
1070,EQS SUV 450 ( X 296),MERCEDES BENZ
1094,G 63,MERCEDES BENZ
1141,CLA  200 AMG Line (C118),MERCEDES BENZ
1142,AMG CLA  45 S,MERCEDES BENZ
1143,C 200 AVA  Line (W206),MERCEDES BENZ
1157,218i Gran Coupe,BMW
1187,CLA  200 AMG Line (C117),MERCEDES BENZ
1193,E 200 Coupe   (C238)*,MERCEDES BENZ
1199,C 200 Cabrio,MERCEDES BENZ
1200,S 450 (CBU),MERCEDES BENZ
1201,CLS 350 AMG,MERCEDES BENZ
1202,C 300 AMG Line (W206),MERCEDES BENZ
1203,AMG CLA  45 S Shooting Brake (X118),MERCEDES BENZ
1218,S 560 (X222)*,MERCEDES BENZ
1219,AMG GT Black Series,MERCEDES BENZ
1220,GT 53 4MATIC+ (X290)*,MERCEDES BENZ
1221,Maybach S 580 (Z223)*,MERCEDES BENZ
1297,Stargazer Active MT,HYUNDAI - HMID
1353,GLB 200 Progressive Line ( X247),MERCEDES BENZ
1513,A  35 4 Matic  (W177)*,MERCEDES BENZ
1514,GLA  200 AMG,MERCEDES BENZ
1612,GLE 450 (V167),MERCEDES BENZ
1613,GLS 450 (X167),MERCEDES BENZ
1615,GLS 600 Maybach (X167),MERCEDES BENZ
1616,GLE 450 Coupe 4MATIC AMG Line (C167)*,MERCEDES BENZ
1617,AMG GLE 53 Coupe 4MATIC+ (C167)*,MERCEDES BENZ
1618,GLC 300 Coupe,MERCEDES BENZ
1634,G 63,MERCEDES BENZ
1686,A 200 Sedan (V177),MERCEDES BENZ
1687,CLA 200 AMG Line (C118),MERCEDES BENZ
1688,AMG CLA 45 S,MERCEDES BENZ
1734,CLA 200 AMG Line (C117),MERCEDES BENZ
1744,S 450 (V223),MERCEDES BENZ
1745,S 450 (V223),MERCEDES BENZ
1746,AMG A 35  4MATIC+ (V177),MERCEDES BENZ
1747,C 200 Coupe,MERCEDES BENZ
1749,E 300 ( CBU ),MERCEDES BENZ
1750,CLS 350 AMG,MERCEDES BENZ
1762,E 53 4 M+ (W213)*,MERCEDES BENZ
1763,S 560 (X222)*,MERCEDES BENZ
1764,C 43 Coupe (C205)*,MERCEDES BENZ
1765,E 53 4M+ (W213),MERCEDES BENZ
1766,GT 53 4MATIC+ (X290)*,MERCEDES BENZ
1767,S 560 (X222)*,MERCEDES BENZ
1895,A 200 Progressive ( W177),MERCEDES BENZ
1896,B 200 Progressive ( W247),MERCEDES BENZ
1897,GLA 200 Progressive Line ( H247),MERCEDES BENZ
1898,GLB 200 Progressive Line ( X247),MERCEDES BENZ
1909,New Kwid Climber,RENAULT
1910,Triber RXT MT,RENAULT
1911,Triber RXZ AT,RENAULT
2071,A 35 4 Matic (W177)*,MERCEDES BENZ
2072,GLA 200,MERCEDES BENZ
2073,GLC 200 AMG,MERCEDES BENZ
2074,GLC 200 AMG ( FL ),MERCEDES BENZ
2075,GLC 200 Exclusive,MERCEDES BENZ
2107,New Koleos Signature,RENAULT
2202,GLS 450 (X167),ISUZU
2203,GLE 450 Coupe 4MATIC AMG Line (C167)*,ISUZU
2204,AMG GLE 53 Coupe 4MATIC+ (C167)*,ISUZU
2205,AMG GLA 35  4MATIC+ (H247),ISUZU
2206,GLC 300 Coupe,ISUZU
2207,GLE 450 (V167),ISUZU
2208,GLE 400 Coupe,ISUZU
2209,GLE 43 Coupe,ISUZU
2225,G 63,MERCEDES BENZ
2226,GLC 43 (X253),MERCEDES BENZ
