,Type Model
35,530e
36,520i
37,530i Touring RHD AT
40,735i Limousine RHD A/T
41,735i Limousine RHD AT
42,750e xDrive Sedan RHD PHEV
44,Z4 M40i AT
45,840i Coupe AT
54,AMG A  35 4MATIC (V177)
56,E 200 Coupe   (C238)*
81,Maybach S 580 (Z223)*
83,X1 sDrive18i U11 A7 AT
136,E502 EV  (4X2) A/T
137,E502 EV  B (4X2) A/T
211,Cooper Hatch A/T
212,Cooper 5 Door A/T
213,Cooper Convertible A/T
215,Cooper Countryman F60 CKD A/T
216,Cooper SE Hatch A/T
234,LivIndonesia VL
235,KICKS E-POWER
236,Leaf
245,S-Presso MT
246,S-Presso AT
346,X3 sDrive20i G01 CKD AT
355,Palisade 2.2 CRDi
356,Palisade 2.2 CRDi Signature
374,AMG A  45 4MATIC (W177)*
378,Cooper S Hatch A/T
379,John Cooper Works  Hatch A/T
380,Cooper S 5 Door A/T
382,Cooper S Convertible A/T
383,John Cooper Works  Convertible A/T
384,Cooper S Countryman F60 CKD A/T
446,X3 xDrive30i G01 CKD AT
447,X3 M RHD AT
448,X4 M RHD AT
449,X4 xDrive30i RHD AT
450,X5
451,X5 xDrive40i G05 CKD AT
452,X5 xDrive40i G05 CKD AT
453,X6 xDrive40i AT
454,X7 xDrive40i G07 CKD AT
455,X7 xDrive40i G07 CKD AT
456,iX xDrive40 AT
457,Palisade 2.2 CRDi AWD
468,AMG GLS 63 (X167)
474,John Cooper Works  ALL4 Clubman A/T
476,Countryman S ALL4 A/T
490,iX1 eDrive20 A/T
524,i7 xDrive60 Limousine RHD AT
545,218i  Gran Coupe
546,220i  Coupe AT
554,M4 Coupe AT
555,M4 Competition M  xDrive C RHD AT
556,430i  Convertible AT
557,430i  Coupe AT
558,530i  CKD AT
559,530i  Touring RHD AT
560,520i  G30 CKD AT
561,72AG 520I
562,730Li  G12 CKD AT
563,735i  Limousine RHD A/T
564,735i  Limousine RHD AT
565,740Li  G12 CKD AT
567,Z4 M40i  AT
568,840i  Coupe AT
569,840i  Gran Coupe AT
579,AMG A 35 4MATIC (V177)
582,E 200 Coupe   (C238)*
611,LS 500 Hybrid
613,M8 Coupe AT
614,M850i  Coupe AT
615,GT  53 4MATIC+ (X290)*
616,Maybach S 580 (Z223)*
618,X1 sDrive18i  F48 AT
619,X1 sDrive18i  U11 A7 AT
675,E502 EV (4X2) A/T
676,E502 EV B (4X2) A/T
787,LivIndonesia EL M/T
788,LivIndonesia VE
789,LivIndonesia VL
790,KICKS E-POWER
791,Leaf
801,S-Presso MT
802,S-Presso AT
908,X3 sDrive20i  G01 CKD AT
909,X3 xDrive20i  G01 CKD AT
924,Palisade 2.2 CRDi
925,Palisade 2.2 CRDi  Signature
951,AMG A 45 4MATIC (W177)*
957,Cooper S Hatch A/T
958,John Cooper Works Hatch A/T
959,Cooper S 5 Door A/T
961,Cooper S Convertible A/T
962,John Cooper Works Convertible A/T
963,Cooper S Countryman F60 CKD A/T
964,Cooper S Countryman F60 CKD A/T
1035,X3 xDrive30i  G01 CKD AT
1036,X3 M  RHD AT
1037,X4 M  RHD AT
1038,X4 xDrive30i  RHD AT
1039,X5
1040,X5 xDrive40i  G05 CKD AT
1041,X5 xDrive40i  G05 CKD AT
1042,X6 xDrive40i  AT
1044,X7 xDrive40i  G07 CKD AT
1045,X7 xDrive40i  G07 CKD AT
1046,iX xDrive40 AT
1047,Palisade 2.2 CRDi  AWD
1050,Wrangler Sahara 4door
1051,Wrangler Rubicon 2door
1052,Wrangler Rubicon 4door Dual  Top
1053,Wrangler Rubicon 4door Sky One Touch
1054,Grand Cherokee 2.0
1064,AMG GLS 63 (X167)
1071,John Cooper Works ALL4 Clubman A/T
1090,Gladiator Rubicon
1091,Grand Cherokee 3.6
1157,218i Gran Coupe
1158,220i Coupe A/T
1159,320i CKD A/T
1160,330i CKD A/T
1163,M3 A/T
1165,M4 Coupe A/T
1166,430i Convertible A/T
1167,430i Coupe A/T
1168,530i CKD A/T
1169,530i Touring RHD A/T
1170,520i G30 CKD A/T
1171,72AG 520I
1172,730Li G12 CKD A/T
1173,740Li G12 CKD A/T
1174,740Li A/T
1176,Z4 M40i A/T
1177,840i Coupe A/T
1178,840i Gran Coupe A/T
1193,E 200 Coupe   (C238)*
1200,S 450 (CBU)
1214,M5 A/T
1216,LS 500 Hybrid
1220,GT 53 4MATIC+ (X290)*
1221,Maybach S 580 (Z223)*
1222,X1 sDrive18i F48 A/T
1223,X2 sDrive18i A/T
1326,Cooper Hatch A/T
1327,Cooper Hatch A/T
1328,Cooper 5 Door A/T
1329,Cooper Convertible A/T
1331,Cooper Countryman F60 CKD A/T
1332,Cooper SE Hatch A/T
1354,LivIndonesia EL M/T
1355,LivIndonesia VE
1356,LivIndonesia VL
1357,KICKS E-POWER
1358,Leaf
1367,S-Presso Mt
1368,S-Presso At
1465,X3 sDrive20i G01 CKD A/T
1466,X3 xDrive20i G01 CKD A/T
1484,Palisade 2.2 CRDi
1513,A  35 4 Matic  (W177)*
1522,Cooper S Hatch A/T
1523,John Cooper Works  Hatch A/T
1524,John Cooper Works  GP A/T
1525,Cooper S 5 Door A/T
1526,Cooper S 5 Door A/T
1528,Cooper S Convertible A/T
1529,John Cooper Works  Convertible A/T
1530,Cooper S Countryman F60 CKD A/T
1531,Cooper S Countryman F60 CKD A/T
1596,X3 xDrive30i G01 CKD A/T
1597,X3 xDrive30i G01 CKD A/T
1598,X3 M A/T
1599,X3 M RHD A/T
1600,X4 M A/T
1601,X4 M RHD A/T
1602,X4 xDrive30i RHD A/T
1603,X4 xDrive30i A/T
1604,X5 xDrive40i G05 CKD A/T
1605,X6 xDrive40i A/T
1606,X7 xDrive40i A/T
1607,X7 xDrive40i G07 CKD A/T
1608,Palisade 2.2 CRDi AWD
1619,John Cooper Works  ALL4 Clubman A/T
1633,X5 M A/T
1686,A 200 Sedan (V177)
1745,S 450 (V223)
1746,AMG A 35  4MATIC+ (V177)
1762,E 53 4 M+ (W213)*
1764,C 43 Coupe (C205)*
1765,E 53 4M+ (W213)
1766,GT 53 4MATIC+ (X290)*
1767,S 560 (X222)*
1867,Cooper 5 Door A/T
1868,Cooper Convertible A/T
1869,Cooper Convertible A/T
1871,Cooper Countryman F60 CKD A/T
1872,Cooper Countryman F60 CKD A/T
1899,LivIndonesia EL M/T
1900,LivIndonesia VE
1901,LivIndonesia VL
1902,KICKS E-POWER
1903,Leaf
2038,Palisade 2.2 CRDi
2071,A 35 4 Matic (W177)*
2079,Cooper S Hatch A/T
2080,John Cooper Works Hatch A/T
2081,Cooper S Hatch A/T
2082,John Cooper Works Hatch A/T
2083,John Cooper Works GP A/T
2084,Cooper S 5 Door A/T
2085,Cooper S 5 Door A/T
2087,Cooper S Convertible A/T
2088,John Cooper Works Convertible A/T
2089,Cooper S Convertible A/T
2090,John Cooper Works Convertible A/T
2091,Cooper S Countryman F60 CKD A/T
2092,Cooper S Countryman F60 CKD A/T
2199,Palisade 2.2 CRDi AWD
2205,AMG GLA 35  4MATIC+ (H247)
2210,John Cooper Works ALL4 Clubman A/T
