,Type Model
35,530e
36,520i
37,530i Touring RHD AT
40,735i Limousine RHD A/T
41,735i Limousine RHD AT
42,750e xDrive Sedan RHD PHEV
43,Z4 sDrive30i AT
44,Z4 M40i AT
45,840i Coupe AT
46,New  ACCORD HEV
47,Civic  Type R
54,AMG A  35 4MATIC (V177)
56,E 200 Coupe   (C238)*
63,AMG CLA  45 S Shooting Brake (X118)
81,Maybach S 580 (Z223)*
83,X1 sDrive18i U11 A7 AT
141,All New  CR-V  1.5 T
146,CITY  HB RS
147,CITY  HB RS
148,CITY  HB RS-HS
151,WR-V  E
152,WR-V  E
153,WR-V  RS
154,WR-V  RS - HS
211,Cooper Hatch A/T
212,Cooper 5 Door A/T
213,Cooper Convertible A/T
214,Cooper Clubman A/T
215,Cooper Countryman F60 CKD A/T
216,Cooper SE Hatch A/T
234,LivIndonesia VL
235,KICKS E-POWER
236,Leaf
245,S-Presso MT
246,S-Presso AT
316,BZ4X EV
319,Tiguan Allspace 1.4 TSI AT
320,Confero S 1.5
321,Confero S 1.5C
322,Confero S 1.5L
323,Confero S 1.5L ACT
324,Cortez  1.5L T CVT
325,Cortez  1.5S T CVT
326,Cortez  1.5S T MT
327,Cortez  1.5 CE
328,Cortez  1.5 EX
329,Formo 1.2 BV
330,Formo 1.2
337,Cloud 460 KM
338,Alvez  1.5 SE
339,Alvez  1.5 CE
340,Alvez  1.5 EX
341,New  Almaz  RS Pro
342,Almaz  1.5SE T CVT
343,Almaz  1.5SE T MT
344,Almaz  RS 1.5T EX
345,Almaz  RS 1.5T Pro
346,X3 sDrive20i G01 CKD AT
349,All New  CR-V  2.0 e:HEV
355,Palisade 2.2 CRDi
356,Palisade 2.2 CRDi Signature
374,AMG A  45 4MATIC (W177)*
377,Seprinter
378,Cooper S Hatch A/T
379,John Cooper Works  Hatch A/T
380,Cooper S 5 Door A/T
381,Cooper S Clubman A/T
382,Cooper S Convertible A/T
383,John Cooper Works  Convertible A/T
384,Cooper S Countryman F60 CKD A/T
391,All New  Serena Highw ay  Star 2.0 AT
420,New  Almaz  HEV
421,Almaz  RS Hybrid
425,V  Klass
434,RZ 450e
446,X3 xDrive30i G01 CKD AT
447,X3 M RHD AT
448,X4 M RHD AT
449,X4 xDrive30i RHD AT
450,X5
451,X5 xDrive40i G05 CKD AT
452,X5 xDrive40i G05 CKD AT
453,X6 xDrive40i AT
454,X7 xDrive40i G07 CKD AT
455,X7 xDrive40i G07 CKD AT
456,iX xDrive40 AT
457,Palisade 2.2 CRDi AWD
459,RX 500h
474,John Cooper Works  ALL4 Clubman A/T
475,John Cooper Works  ALL4 A/T
476,Countryman S ALL4 A/T
479,Terra VL 2.5 AT 4x4
490,iX1 eDrive20 A/T
524,i7 xDrive60 Limousine RHD AT
545,218i  Gran Coupe
546,220i  Coupe AT
554,M4 Coupe AT
555,M4 Competition M  xDrive C RHD AT
556,430i  Convertible AT
557,430i  Coupe AT
558,530i  CKD AT
559,530i  Touring RHD AT
560,520i  G30 CKD AT
561,72AG 520I
562,730Li  G12 CKD AT
563,735i  Limousine RHD A/T
564,735i  Limousine RHD AT
565,740Li  G12 CKD AT
566,Z4 sDrive30i  AT
567,Z4 M40i  AT
568,840i  Coupe AT
569,840i  Gran Coupe AT
571,Civic Type R
579,AMG A 35 4MATIC (V177)
582,E 200 Coupe   (C238)*
593,AMG CLA 45 S Shooting Brake (X118)
611,LS 500 Hybrid
613,M8 Coupe AT
614,M850i  Coupe AT
615,GT  53 4MATIC+ (X290)*
616,Maybach S 580 (Z223)*
618,X1 sDrive18i  F48 AT
619,X1 sDrive18i  U11 A7 AT
679,New CR-V T
680,New CR-V Prestige
681,All  New CR-V 1.5 T
690,CITY HB RS
691,CITY HB RS
692,CITY HB RS-HS
697,WR-V E
698,WR-V E
699,WR-V RS
700,WR-V RS - HS
710,Grand i10
787,LivIndonesia EL M/T
788,LivIndonesia VE
789,LivIndonesia VL
790,KICKS E-POWER
791,Leaf
801,S-Presso MT
802,S-Presso AT
877,BZ4X EV
878,RAV 4 GR-S
881,Tiguan Allspace 1.4 TSI AT
882,Confero S 1.5
883,Confero S 1.5C
884,Confero S 1.5L
885,Confero S 1.5L ACT
886,Cortez 1.5C T  MT
887,Cortez 1.5C T  CVT
888,Cortez 1.5L T  CVT
889,Cortez 1.5S T  CVT
890,Cortez 1.5S T  MT
891,Cortez 1.5 CE
892,Cortez 1.5 EX
893,Formo 1.2 BV
894,Formo 1.2
895,Air EV Lite
896,Air EV Standard Range
897,Air EV Long Range
898,Binguo 333 KM
899,Binguo 410 KM
900,Alvez 1.5 SE
901,Alvez 1.5 CE
902,Alvez 1.5 EX
903,New Almaz RS Pro
904,Almaz 1.5SE T  CVT
905,Almaz 1.5SE T  MT
906,Almaz RS 1.5T  EX
907,Almaz RS 1.5T  Pro
908,X3 sDrive20i  G01 CKD AT
909,X3 xDrive20i  G01 CKD AT
913,New CR-V
914,New CR-V
915,All  New CR-V 2.0 e:HEV
924,Palisade 2.2 CRDi
925,Palisade 2.2 CRDi  Signature
940,NX 450h+
941,RZ 450e
942,RX 500h
951,AMG A 45 4MATIC (W177)*
956,Seprinter
957,Cooper S Hatch A/T
958,John Cooper Works Hatch A/T
959,Cooper S 5 Door A/T
960,Cooper S Clubman A/T
961,Cooper S Convertible A/T
962,John Cooper Works Convertible A/T
963,Cooper S Countryman F60 CKD A/T
964,Cooper S Countryman F60 CKD A/T
971,All  New Serena Highway Star 2.0 AT
1008,New Almaz HEV
1009,Almaz RS Hybrid
1018,V Klass
1034,M135i  xDrive AT
1035,X3 xDrive30i  G01 CKD AT
1036,X3 M  RHD AT
1037,X4 M  RHD AT
1038,X4 xDrive30i  RHD AT
1039,X5
1040,X5 xDrive40i  G05 CKD AT
1041,X5 xDrive40i  G05 CKD AT
1042,X6 xDrive40i  AT
1044,X7 xDrive40i  G07 CKD AT
1045,X7 xDrive40i  G07 CKD AT
1046,iX xDrive40 AT
1047,Palisade 2.2 CRDi  AWD
1071,John Cooper Works ALL4 Clubman A/T
1072,John Cooper Works ALL4 A/T
1077,Terra VL 2.5 AT  4x4
1157,218i Gran Coupe
1158,220i Coupe A/T
1159,320i CKD A/T
1160,330i CKD A/T
1163,M3 A/T
1165,M4 Coupe A/T
1166,430i Convertible A/T
1167,430i Coupe A/T
1168,530i CKD A/T
1169,530i Touring RHD A/T
1170,520i G30 CKD A/T
1171,72AG 520I
1172,730Li G12 CKD A/T
1173,740Li G12 CKD A/T
1174,740Li A/T
1175,Z4 sDrive30i A/T
1176,Z4 M40i A/T
1177,840i Coupe A/T
1178,840i Gran Coupe A/T
1193,E 200 Coupe   (C238)*
1200,S 450 (CBU)
1203,AMG CLA  45 S Shooting Brake (X118)
1214,M5 A/T
1216,LS 500 Hybrid
1220,GT 53 4MATIC+ (X290)*
1221,Maybach S 580 (Z223)*
1222,X1 sDrive18i F48 A/T
1223,X2 sDrive18i A/T
1270,New  CR-V  T
1271,New  CR-V  Prestige
1277,CITY  HB RS
1278,CITY  HB RS
1279,CITY  HB RS-HS
1282,WR-V  E
1283,WR-V  RS
1284,WR-V  RS - HS
1290,Grand i10
1326,Cooper Hatch A/T
1327,Cooper Hatch A/T
1328,Cooper 5 Door A/T
1329,Cooper Convertible A/T
1330,Cooper Clubman A/T
1331,Cooper Countryman F60 CKD A/T
1332,Cooper SE Hatch A/T
1354,LivIndonesia EL M/T
1355,LivIndonesia VE
1356,LivIndonesia VL
1357,KICKS E-POWER
1358,Leaf
1367,S-Presso Mt
1368,S-Presso At
1439,C+POD EV
1440,BZ4X EV
1443,Tiguan Allspace 1.4 TSI AT
1444,Confero S 1.5
1445,Confero S 1.5C
1446,Confero S 1.5L
1447,Confero S 1.5L ACT
1448,Cortez  1.5C T MT
1449,Cortez  1.5C T CVT
1450,Cortez  1.5L T CVT
1451,Cortez  1.5S T CVT
1452,Cortez  1.5S T MT
1453,Cortez  1.5 CE
1454,Cortez  1.5 EX
1455,Formo 1.2 BV
1456,Formo 1.2
1457,Air EV  Standard Range
1458,Air EV  Long Range
1459,Almaz  1.5E+ T CVT
1460,Almaz  1.5E T CVT
1461,Almaz  1.5SE T CVT
1462,Almaz  1.5SE T MT
1463,Almaz  RS 1.5T EX
1464,Almaz  RS 1.5T Pro
1465,X3 sDrive20i G01 CKD A/T
1466,X3 xDrive20i G01 CKD A/T
1470,New  CR-V
1484,Palisade 2.2 CRDi
1513,A  35 4 Matic  (W177)*
1519,VITO
1520,V  220
1521,Seprinter
1522,Cooper S Hatch A/T
1523,John Cooper Works  Hatch A/T
1524,John Cooper Works  GP A/T
1525,Cooper S 5 Door A/T
1526,Cooper S 5 Door A/T
1527,Cooper S Clubman A/T
1528,Cooper S Convertible A/T
1529,John Cooper Works  Convertible A/T
1530,Cooper S Countryman F60 CKD A/T
1531,Cooper S Countryman F60 CKD A/T
1573,Almaz  RS Hybrid
1580,V  Klass
1594,M135i xDrive A/T
1595,X3 xDrive20i A/T
1596,X3 xDrive30i G01 CKD A/T
1597,X3 xDrive30i G01 CKD A/T
1598,X3 M A/T
1599,X3 M RHD A/T
1600,X4 M A/T
1601,X4 M RHD A/T
1602,X4 xDrive30i RHD A/T
1603,X4 xDrive30i A/T
1604,X5 xDrive40i G05 CKD A/T
1605,X6 xDrive40i A/T
1606,X7 xDrive40i A/T
1607,X7 xDrive40i G07 CKD A/T
1608,Palisade 2.2 CRDi AWD
1619,John Cooper Works  ALL4 Clubman A/T
1620,John Cooper Works  ALL4 A/T
1625,Terra VL 2.5 AT 4x4
1633,X5 M A/T
1686,A 200 Sedan (V177)
1746,AMG A 35  4MATIC+ (V177)
1762,E 53 4 M+ (W213)*
1765,E 53 4M+ (W213)
1766,GT 53 4MATIC+ (X290)*
1767,S 560 (X222)*
1827,New CR-V T
1828,New CR-V Prestige
1835,CIVIC 5D E
1848,Grand i10
1867,Cooper 5 Door A/T
1868,Cooper Convertible A/T
1869,Cooper Convertible A/T
1870,Cooper Clubman A/T
1871,Cooper Countryman F60 CKD A/T
1899,LivIndonesia EL M/T
1900,LivIndonesia VE
1901,LivIndonesia VL
1902,KICKS E-POWER
1903,Leaf
1993,Tiguan Allspace 1.4 TSI AT
1994,Confero S 1.5
1995,Confero S 1.5C
1996,Confero S 1.5L
1997,Confero S 1.5L ACT
1998,Cortez 1.5C T MT
1999,Cortez 1.5C T CVT
2000,Cortez 1.5L T CVT
2001,Cortez 1.5S T CVT
2002,Cortez 1.5S T MT
2003,Formo 1.2 BV
2004,Formo 1.2
2005,Almaz 1.5E+ T CVT
2006,Almaz 1.5E T CVT
2007,Almaz 1.5SE T CVT
2008,Almaz 1.5SE T MT
2009,Almaz RS 1.5T EX
2010,Almaz RS 1.5T Pro
2016,New CR-V
2018,CIVIC TYPE R
2023,New Santa FE CRDI
2024,New Santa FE
2025,H-1  2.4
2026,H-1  2.5 CRDI
2027,Starex 2.5 CRDi
2038,Palisade 2.2 CRDi
2071,A 35 4 Matic (W177)*
2076,VITO
2077,V 220
2078,Seprinter
2079,Cooper S Hatch A/T
2080,John Cooper Works Hatch A/T
2081,Cooper S Hatch A/T
2082,John Cooper Works Hatch A/T
2083,John Cooper Works GP A/T
2084,Cooper S 5 Door A/T
2085,Cooper S 5 Door A/T
2086,Cooper S Clubman A/T
2087,Cooper S Convertible A/T
2088,John Cooper Works Convertible A/T
2089,Cooper S Convertible A/T
2090,John Cooper Works Convertible A/T
2091,Cooper S Countryman F60 CKD A/T
2099,X-Trail 2.5 Upper CVT
2150,COMS EV
2151,C+POD EV
2173,V 260
2174,Century Hybrid 5.0 A/T
2199,Palisade 2.2 CRDi AWD
2205,AMG GLA 35  4MATIC+ (H247)
2210,John Cooper Works ALL4 Clubman A/T
2211,John Cooper Works ALL4 A/T
2212,John Cooper Works ALL4 A/T
2213,John Cooper Works ALL4 A/T
