Engine Category ,Brand,Type Model,Engine Capacity,Transmission,FUEL,Seater,Door,CKD/CBU,Origin Country,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OKT,NOV,DES,TOTAL
CC < 1.500 [G/D],HONDA,All New  City,1.497,CVT,Gasoline,5,4,CBU,Indonesia,2024,13,3,14,0,0,0,0,0,0,0,0,0,30
CC < 1.500 [G/D],HONDA,All New  Civic,1.5,CVT,Gasoline,5,4,CBU,Indonesia,2024,59,90,108,54,55,56,0,0,0,0,0,0,422
CC < 1.500 [G/D],BMW,i7 xDrive60 Limousine RHD AT,0.0,AT,BEV,4,4,CBU,Germany,2024,5,3,24,17,24,11,0,0,0,0,0,0,84
CC < 1.500 [G/D],BMW,CBU i4 eDrive35 Gran Coupe AT,0.0,AT,BEV,4,5,CBU,Germany,2024,0,0,4,1,3,0,0,0,0,0,0,0,8
CC < 1.500 [G/D],HYUNDAI - HMID,Ioniq 6,0.0,AT,BEV,5,5,CBU,India,2024,7,3,1,2,1,6,0,0,0,0,0,0,20
CC < 1.500 [G/D],HYUNDAI - HMID,Genesis  G80 EV,0.0,AT,BEV,5,5,CBU,India,2024,0,0,0,0,0,0,0,0,0,0,0,0,0
CC < 1.500 [G/D],HYUNDAI - HMID,Genesis  G80,0.0,AT,BEV,5,5,CBU,India,2024,1,0,0,1,0,0,0,0,0,0,0,0,2
CC < 1.500 [G/D],MERCEDES BENZ,A  200 Sedan (V177),1.332,AT,Gasoline,5,4,CBU,Germany,2024,0,0,0,0,0,0,0,0,0,0,0,0,0
CC < 1.500 [G/D],MERCEDES BENZ,CLA  200 AMG Line (C118),1.332,AT,Gasoline,5,4,CBU,Germany,2024,8,1,0,0,5,10,0,0,0,0,0,0,24
CC < 1.500 [G/D],MERCEDES BENZ,AMG CLA  45 S (C118),1.332,AT,Gasoline,5,4,CBU,Germany,2024,0,0,0,0,0,0,0,0,0,0,0,0,0
CC < 1.500 [G/D],MERCEDES BENZ,C 200 AVA  Line (W206),1.496,AT,Gasoline,4,4,CKD,Indonesia,2024,2,10,12,9,14,4,0,0,0,0,0,0,51
CC < 1.500 [G/D],MAZDA,Mazda 2 Sedan,1.496,AT,Gasoline,5,4,CBU,Thailand,2024,1,10,3,2,3,0,0,0,0,0,0,0,19
CC < 1.500 [G/D],MORRIS GARAGE,5 GT Activate 1.5L,1.498,CVT,Gasoline,4,5,CBU,Thailand,2024,3,0,0,0,0,0,0,0,0,0,0,0,3
CC < 1.500 [G/D],MORRIS GARAGE,5 GT Ignite 1.5L,1.498,CVT,Gasoline,4,5,CBU,Thailand,2024,18,18,21,13,2,4,0,0,0,0,0,0,76
CC < 1.500 [G/D],MORRIS GARAGE,5 GT Magnify  1.5L,1.498,CVT,Gasoline,4,5,CBU,Thailand,2024,0,12,12,7,11,15,0,0,0,0,0,0,57
CC < 1.500 [G/D],TOYOTA,Vios  1.5 E,1.5,MT,Gasoline,5,4,CKD,Indonesia,2024,0,0,0,0,0,0,0,0,0,0,0,0,0
CC < 1.500 [G/D],TOYOTA,VIOS 1.5 G AT FMC,1.5,AT,Gasoline,5,4,CKD,Indonesia,2024,10,6,15,16,18,20,0,0,0,0,0,0,85
CC 1.501 - 3.000 [G]/ 2.500 [D],AUDI,A5 2.0 TFSI,1.984,AT,Gasoline,5,2,CBU,Germany,2024,1,0,0,0,0,0,0,0,0,0,0,0,1
CC 1.501 - 3.000 [G]/ 2.500 [D],AUDI,A5 2.0 TFSI A/T SB,1.984,AT,Gasoline,5,5,CBU,Germany,2024,0,0,1,0,1,0,0,0,0,0,0,0,2
CC 1.501 - 3.000 [G]/ 2.500 [D],AUDI,A6 2.0TFSI AT,1.984,AT,Gasoline,5,4,CBU,Germany,2024,1,0,0,0,0,0,0,0,0,0,0,0,1
CC 1.501 - 3.000 [G]/ 2.500 [D],AUDI,A8L 3.0 AT,2.995,AT,Gasoline,5,4,CBU,Germany,2024,1,1,0,0,0,0,0,0,0,0,0,0,2
CC 1.501 - 3.000 [G]/ 2.500 [D],BMW,218i Gran Coupe,1.998,AT,Gasoline,4,4,CKD,Indonesia,2024,9,17,12,16,30,10,0,0,0,0,0,0,94
CC 1.501 - 3.000 [G]/ 2.500 [D],BMW,220i Coupe AT,1.998,AT,Gasoline,4,2,CBU,Germany,2024,1,1,5,0,0,0,0,0,0,0,0,0,7
CC 1.501 - 3.000 [G]/ 2.500 [D],BMW,320i CKD AT,1.998,AT,Gasoline,5,4,CKD,Indonesia,2024,9,8,15,10,30,70,0,0,0,0,0,0,142
CC 1.501 - 3.000 [G]/ 2.500 [D],BMW,330i CKD B7 AT,1.998,AT,Gasoline,5,4,CKD,Indonesia,2024,38,21,34,14,62,43,0,0,0,0,0,0,212
CC 1.501 - 3.000 [G]/ 2.500 [D],BMW,330I 62FY  A/T,1.998,AT,Gasoline,5,5,CBU,Germany,2024,0,0,0,0,0,0,0,0,0,0,0,0,0
CC 1.501 - 3.000 [G]/ 2.500 [D],BMW,330I 62FY  A/T,1.998,AT,Gasoline,5,5,CBU,Germany,2024,0,0,0,0,0,26,0,0,0,0,0,0,26
CC 1.501 - 3.000 [G]/ 2.500 [D],BMW,M2 Coupe RHD MX AT,2.993,AT,Gasoline,4,2,CBU,Germany,2024,4,9,0,2,10,4,0,0,0,0,0,0,29
CC 1.501 - 3.000 [G]/ 2.500 [D],BMW,M3 AT,2.993,AT,Gasoline,4,4,CBU,Germany,2024,0,0,0,0,0,0,0,0,0,0,0,0,0
